cleaned_comment,sentiment_score,sentiment
yet come making hard choice option subset socially constrained option long feel exercised choosing limited set viable option claim expressing authentic individual allows life guide choice drifter make decision passively therefore allow swept flow life principle wu wei would apply however inner self make choice resilient pushed around flow life resist certain idea support others sense life meaningful engaged agency support cause idea dictate world make life want selfcreated reason reason originate unimportant point decide decide certainly get behind idea making decision feel right feeling know ive acted accordance deeper part ive expressed way reflects inner feeling arrived feeling unknown mystery doesnt matter long allowed expression released outside world flow sense want move act act authentic really creature interconnected environment ecology act way express inner feeling allow flow life pas unimpeded way water flow mountain certain pretty confident right way act say also wrong way act layer complex mental game also simply manifestation,0.9579,positive
yes create universe,0.5859,positive
way view,0.0,neutral
awesome video thank made video summarizing make better decision life case wan na watch,0.8591,positive
actually make eye little bit wet,0.0,neutral
help choose appreciate suggestion important exam coming presently unemployment parent provider focus self study month officer post fulfilling maybe hour extra tutor hour day part syllabus continues hr everyday month get job call intership selfish leave could also save money part phase coaching book exam need pas part exam,0.4939,positive
great lecture,0.6249,positive
mindblowingamazing,0.0,neutral
answer gut feeling,0.128,positive
decision fatigue kill asianfoodnerd ig,-0.7717,negative
need choice abortion wife pregnant ob gyne say baby rare heart decease need let go keep baby suffer cant decide,-0.5423,negative
im dont know comment probably late seen oh well want air thought study music university passion hobby longer ive able read write law ive offered fully paid scholarship love learning academia think would able really impactful change lawyer strong drive make world better place hand love music make feel incredible sometimes perform euphoric could music law later course would lose scholarship taking scholarship would significantly assist parent financially get behind musician exisiting create beauty share joy also see making significant change fighting greater good lawyer person want want also want ensure financial security family want good child create beauty change world feel like cant thing need decide today im complete loss thanks reading,0.9956,positive
extraordinary deeper explanation,0.0,neutral
here situation high school offer cte career technology education program essentially really hard get program let take college class get experience high school want lawyer applied criminal justice program people get accepted look everything grade attendance application get accepted id take class sophomore junior year senior year essentially barely get elective get take course hard decision come im unable take lot ap class im planning applying ivy league college prestigious college general gpa would suffer took cte course want gpa impossible get taking cte class like id tiniest bit gpa ive spent hour upon hour application program im getting letter soon whether made id choose good gpa program know one care help write im freaking,0.7517,positive
people burst laughter literally nothing funny said dont get,0.2008,positive
value better worse equal ruth chang value better worse equal par neighbourhood yet different kind facing par circumstance exercise agency ability decide normative power,0.8442,positive
there trying decide two different last name,0.0,neutral
come prendere le decisioni giuste insieme te intervista,0.0,neutral
really difficult desicion right exchange year spain end planned tripfor day day city love life life km one supossed agency doesnt know cordiantor told want meet next day exactly wont would mean would get kicked day earlier dont go biggest regret life,0.6173,positive
video godsend thank,0.743,positive
dont try fail aim succeed,0.7227,positive
hard choice go comedy standup ted discussion standup sold well,0.4939,positive
pretty sure rick morty based psychiatrist character woman,0.6705,positive
hey anyone read im soccer team dont like going practice game dinner team get akward also play left defense dont even get much time got accepted another team ab c team made c team team better could get fresh start social life,0.7958,positive
graduated art dont know longer student fact need make choice parent usually left stressed realise dont know even create option brain freeze afraid first step university make future miserable feel like drifter understand dont know however know first step changing,-0.5739,negative
lovely path thinking,0.5859,positive
truly one best ted talk ever watched thank perspective helpful,0.9081,positive
decision making important thing everyone abraham twersky opinion decision making fzq,0.2023,positive
action life reaction waiting life action,0.0,neutral
important talk ever watched,0.2023,positive
thats love philosopher philosophy,0.6369,positive
really liked talk,0.4754,positive
cant decide date girl boy im bisexual,0.0,neutral
dont get chose option want stand face alternative par,0.0772,positive
unable make choice didnt know would happen know unable make choice,0.0,neutral
amazing video,0.5859,positive
puzzling topic finally realize philosophy doesnt suit,0.0,neutral
goosebump,0.0,neutral
recommend listening whole talk appreciate amazing talk philosophy philosophy loses value summarizing,0.8442,positive
dislike hesitation whowhich choosemany choicesi guesswere randomthus didnt get much better themnowsth must change,-0.7274,negative
watching midnight middle choosing two job feel good one paying giving city studied friend lived giving lesser money worked grew one actually started liking sure job gon na choose week time commenting think gon na choose less paying unknown city one wan na see life go come back comment sure year two cheer whoever reading making choice like mine october,0.9682,positive
got letter could go hunter college high school th grade next year would like change would leave friend much harder work test get november currently go k school went video dont know fully want go could keep friend get much better education,0.8796,positive
netflix sent dvd damn feel old,-0.4019,negative
question chinese japanise,0.0,neutral
wrong flipping coin sorry thanks,-0.1317,negative
make decision built rezon decision okwe try make decision emotion impact tomorrow,0.0,neutral
today chose leave high school distance learning would lead qualification seek one would helped grow socially dont want give social pressure paying bug per month seems really muchbut hope ill get,-0.3627,negative
completely wrong banking job even money far better artist work bank get financial security artist philosopher creative without financial concern thats ruth chang right lawyer thing get finance sorted armchair philosopher compared philosopher sleeping bag road,0.5868,positive
watching,0.0,neutral
estou aqui fazer um tpc q era comentar vdeo ma eu sabia q comentar kkkk,0.0,neutral
dont know money never part equation shouldnt,0.0,neutral
definitely chosen philosophy money becomes real question always remain immigrant instead right away choose become leader guess lawyer law change philosopher come show,0.4019,positive
seems like shes refering asian philosophy duality issue dichotomy added dose self reflectivity plus awareness agency,0.3612,positive
aaaiiiiin queria tanto uma verso em portugus,0.0,neutral
ive decided breakfast maybe decide city live consequence decision vastly different basically zero v change life terrible argument,-0.6808,negative
amazing thank much person make sense come topic everyone say whats best doesnt matter arent great option suspected complexity mention thing cant measured scientific way couldnt quite figure thing clear level like video anyway opened eye least feel closer making hard decision life completely lost like used,0.9563,positive
fast jump give gist rest monologue,0.0,neutral
putting sleep minute video,0.0,neutral
ppl close u dont let u pick anything wear numb,-0.34,negative
wow incredible talk overwhelmed truth may teared little,0.743,positive
think cut shortwhatever choose create reason support decision,0.4019,positive
fucking teacher made see hate,-0.5719,negative
speaks like philosopher,0.3612,positive
instead looking reason looking reason inside reflect put agency behind hard choice become person ruth chang,-0.1027,negative
actually helped find take laptop friend house im joking though helped,0.6249,positive
maybe shes saying,0.0,neutral
thank much loved talk,0.7506,positive
talk full wisdom end choosing kind person making hard decision thank dr chang,0.836,positive
needed bad thank,-0.25,negative
dictated reason given u rather supported reason created u,0.5106,positive
beautiful talk thank,0.7506,positive
giving ur kid adoption dad wife keep struggling provide care im know dont want hurt themmake feel like dont love im struggling daily even think straight someone plz help dont want wrong thing,0.7856,positive
doesnt make sense,0.0,neutral
option would choose one year live try one stuck,-0.25,negative
give pet hardest decision make,0.0,neutral
love smile member audience near end speech,0.7717,positive
damn helpful,0.0258,neutral
put irritating sound clap necessary,-0.4588,negative
beer coffee,0.0,neutral
one best ted talk,0.6369,positive
hard choice hard best option,0.5267,positive
better watch mr nobody,0.4404,positive
sht forgot netflix used send dvd,0.0,neutral
woman audience tongue,0.0,neutral
excellent thank ruth chang,0.7351,positive
im bullied current school bullying got bad last wednesday mother gave option stay school school change class find safe space sit class time start online school reason difficult online school expensive get distracted easily dont learn properly unless im shown something dont want go back school though bully got trouble know told ive well school bullying isnt working everything else fine afternoon decide ive already taken week school dont know honestly think school im would better future,-0.9572,negative
th comment,0.0,neutral
thank video helped,0.3612,positive
literally learned nothing,0.0,neutral
make hard choice simple thats pay attention see universe god provides guidance clear sign path take ie dont make choice instead simply follow path presented worry universe trick lead astray,-0.0516,negative
oh really really liked thank going share several friend seems way looking hard choice true individual level societal level,0.9219,positive
cat decided ate hour happended,0.0,neutral
basically prioritise unconditioned societal constraint want thats exactly meaning hear since long,0.0772,positive
make decision without permission kill crush destroy get dog house slaver,0.1734,positive
came philosophical explaination mr nobody movie deeply affect usual disposition contradictory choice meaningful sometimes,-0.0258,neutral
choose,0.0,neutral
zoom esther perel totally engrossed talk,0.2247,positive
mindblowing thks lot,0.34,positive
tf name child lolita,0.0,neutral
existence precedes essence,0.0,neutral
measuring option hard choice like measuring volume set amount air change based temperature mood pressure pressure,-0.3182,negative
esther perel displaying great listening skill,0.6249,positive
aside two job offer moment choose one suburban firm provides security low career much less stress proximity home high end stressful job city far better challenge exposure mentorship one go im scared failing city job back ie looking job going numerous job interview,-0.818,negative
awesome awesome yet awesome magnificent talk,0.9531,positive
thank honesty bottom heart thank needed actually always find cought thing always fearing people judgment every decision choosing thing tear within know ive choose thing basing wan na truly,0.7506,positive
come back video every year day celebrate stopped smoking drinking,0.4215,positive
couldnt watched video apt time life im totally lost trying decide move ahead life woman extreme clarity understanding situation like im could dealt thank,0.6258,positive
message got hard choice force make meaningful decision weight almost always result right path either make right choice feel good make wrong choice allows learn bit dont actually want,0.1225,positive
unuseful video,0.0,neutral
believe one cant look anothers life say decision made doesnt mean concept invalid mean invalid everyone let add someone lived perfect life know felt exactly gone concept longer applies dont know im referring christ add like call white gray black apply everything decide life includes one didnt white grey black crop decision make killing cheating stealing black equally bad decision dont come often non another thing meny small decision led make big life changing decision never one,-0.8792,negative
making hard choice acknowledge hard best alternative blessing easy choice passively detrimental solve hard choice exercise agency looking within stance voice value matter ultimately tough decision proactive owning choice reactive drifter succumbing easy choice ensure weigh hard choice potential rather quality choice,0.9524,positive
listen heart speech simple much explanation,0.0,neutral
always regard hard choice chanceschances getting know betteri first rejected mon becoming teacherthen accepted eventuallybut came crossroadgive wouldnt able move forwardif wasnt hard choicesi would able realise never wanted stay one place work everydayi wrote every detail person wan na beif already kind person u wan na bethere wont hard choicesi believe telling reconsider think future thank reading,0.3612,positive
may consider picking choice lead possibility never close loop,0.0,neutral
complicated way saying shouldnt let people make choice,0.0,neutral
even esther perrell extremely intelligent clinician seems moved,0.5095,positive
absolutely brilliant,0.624,positive
hard choice hard best option love line thank,0.8779,positive
great talk,0.6249,positive
joker multiple choice origin,0.128,positive
nothing answer make hard choice want put agency self behind decide answer accept absurdity life live life point tear every single day stay true value along way,0.8124,positive
im freshman high school need decide whether want stay georgia live mom go new york live dad believe moving dad help grade social skill however dosent live safest part town dosent make much money anyone advice,0.6908,positive
im glad chose philosopher drifting become brilliant one,0.7783,positive
trying pick school go one super strict uniform great opportunity cost dollar per year looser uniform less opportunity idk,0.9257,positive
able stand behind option like video dont get wrong isnt problem hard choice either morally hate like option equally,0.6606,positive
year old still trying make choice moving back bisbee spend time dad nice people outside school nice stay st john live mom nice outside school people nicer let know choice make,0.8834,positive
wonderful feel supportive think mean follow heart keep life regret worth living,0.6124,positive
there something make sharing talk talked staying true letting standing hard choice really make truly order state reason hard choice need information choice face asking people opinion considering merit two choice come acquire information finally conclude choice fit u,0.9058,positive
thank currently crossroad age struggling didnt know whether choose family marriage careermultitasking really thing increased salary metaphor great perspective although spend life getting know like different path choice talk great help whats worse pursue thing meaningful,0.9284,positive
every time want make hard decision listen lose eminem repeatedly work,-0.4215,negative
wrong kind thing make human stupid,-0.4767,negative
agree,0.3612,positive
gold thank much,0.3612,positive
people saying talk redundant meaningless seem miss point hoping speech would offer perfect solution whatever problem youre confirming logic there dvd ted talk give answer good better life instead recognize youre one creating pro con choosing two subject therefore go ahead write pro con choose based con youre willing live knowing alone made choice also really cool see esther perel audience much love,0.9371,positive
choose mom dad choice bad dont know,-0.5423,negative
esther perel,0.0,neutral
thank sharing heartfelt,0.8316,positive
decision take reasoning simple complex situation go reasoning need take decision want heart video watched enlightening,0.5574,positive
stayed lawyer,0.0,neutral
suscrbanse rabugaming chavos los que sus maestras los obligan ver este video,0.0,neutral
according dont realize scientific knowledge different value ought realize science delineate less equal oughts dont function way decision par use normative power power create reason make decision put behind dont think one choice better dont forgo normative power become drifter let others give reason dont overly sweat pro con list one choice isnt better summary choose ought want become create compelling reason choice dont fall back seocial pressure personal fear question always simple right compass want become id argue reason decision difficult becuase arent sure want even couldnt decide lawyer philospher,0.4475,positive
great video started talking circle little bit brought back towards end finish video promise shes answer question,0.7506,positive
dont get answer need think like jesus,0.3612,positive
wow great talk,0.836,positive
ester perel,0.0,neutral
wow ur idiot,0.128,positive
awesome struggled hard choice big small agonizing pro con thing day day really given context tackle choice better efficiently thank,0.6908,positive
best ted talk ever thank much well always need philosopher like,0.8834,positive
position make hard choice seriously confuse traveled another country greener pasture situation turn thought v work hr day routine activity work sleep work social life nothing work due exchange rate send salary home country big money thinking returning home country problem getting job hard business really risk start continue leaving seems like prison subject cry almost everyday stay make money good life go back country make time lesser make freedom need advice thanks,-0.3384,negative
unfortunat shes bad speaker able listen,-0.5423,negative
esther perel straight falling love right,0.6705,positive
see esther perel,0.0,neutral
best watched multiple time many gem make sure get everything saying,0.7579,positive
boring ted talk ever slept three time watching stick lawyer thing talking strong talent,0.5859,positive
illusion reality,0.0,neutral
went school boring class something really really fun brother surgery really want also dont want miss school help p,0.7846,positive
kinda dont understand getting thing best choice choice chosen verdict best outcome pro obviously exactly pinpoint well something going go future think pretty clear visualize bad outcome anything bad outcome used point reference burn crack dont,0.872,positive
never die trust never,0.1139,positive
thank important message feel less anxious tbe major life choice make today believe start life one way positive,0.7346,positive
go oni decided stop listening,-0.296,negative
amazing thank sharing word wisdom,0.91,positive
thank apply spread remember,0.3612,positive
amaze maam thank much,0.7184,positive
well option hard choice sometimes route someone perception equally good society perception one better example choosing dress eventhough perceive dress beautiful worthwearing still hard time chosing ask one better true end youre one make decision look inside end dont really know one good u ask advice people matter u one loved see asian practical route family decissions personality clashing make hard see even mindset say choice make equally good society still slap facemy family friend fear make hard accommodate perceive one choice good everyone say choosing choose one better end lead think choosing finance art finance better job graphical artist sector succes really route perception successmoney income u make mistake chose simply lead safe option order u survive,0.9867,positive
marry muslim,0.0,neutral
one best little ted talk existence hard choice doesnt big choice learn handle small hard choice big choice seem less intractable hard choice arent hard stupid hard pay lot attention voice head tell u choose fear unknown push u choose believe less risky option usually best choice end assume value scientific measurement x better worse equal arent create reason choose one based range value dont let world decide reflect put agency behind hard choice make u fundamentally here stand commit chocolate donut,0.8251,positive
life changing information found,0.0,neutral
interesting talk seems polarised opinion dont answer many feel chang doesnt answer exactly might make hard choice worked opinion talk brilliant profound timely statement nature life big decision familiar wisdom presented analytic philosopher perspective work,0.8591,positive
ruth chang indeed philosopher great one thank much life changing speech beautifully gracefully laid,0.9287,positive
long talk,0.0,neutral
ive always indecisive much even ask buy wear like ridiculous maybe deep dont want choice video solved year confussion thank,0.3352,positive
get raven rapscallion fortnite,0.0,neutral
make hard choice much commit knowing benefit one lose create hardship difficulty choosing breakfast simply inability make mind im,-0.4939,negative
didnt find helpful,-0.3252,negative
flip coin,0.0,neutral
umm im decided something game,0.0,neutral
need value philosopher banker world full new idea perspective would help u evolve specie instead constantly figuring way exploit system human animal planet quick worthless profit,0.5719,positive
order decide based want woman suggesting first idea value big problem many u conflict value decide based value parent religion best friend favorite rebel celebrity favorite internet guru combination facing tough decision advice find value matter ignore everyone elses dont ashamed value dont let anyone guilt trip caring something value example know inside heart personal freedom matter family kid matter much people want big mistake someday change mind value fine become parent truly care creativity financial security choose career involves one doesnt choice dont got choice,0.9911,positive
im also going puzzle since im university student lot option choose im unable want choose best option process two way first go indian administrative service ia second philosopher know day decide im waiting day,0.6705,positive
one best ted lecture ever made,0.6369,positive
amazing ted talk biiig thank,0.743,positive
im gloating bit life always determined little choice result life made million little choice think family relationship taking time day day one mundane task another day day month month year year end know saying death wish took less time office life happiness abundance around already going choose see massage gain knowledge focusing anything everything else control anyway,0.802,positive
wow boring tiring explains choice difficult doesnt help solve difficult choice,-0.6542,negative
thats problem philosopher n art graduate talk much many time say obvious life already taught u atleast someone mid cant quantify pro n con country living n urban living prima facie know dont need remind action n decision represent obvious thing engrained behaviour reverse engineering thought process decision making,-0.4019,negative
vid seems explain hard choice benefit choosing hard choice compare however like comment said weight inner self others might answer someone vid doesnt really help,0.3016,positive
powerful thank,0.6486,positive
incredible,0.0,neutral
gud luv,0.0,neutral
reminds shrink rick morty,0.0,neutral
yes unless youre drifted harsh reality kid youve left need eat go doctor let get real folk arent choosing philosophy law theyre choosing customer food service maybe worse yes choice along thing locus control shape people yet judge angry depressed education time edifying ted talk like one,-0.6908,negative
dont want drifter want take charge life make hard choice video came time thank god bless,0.6763,positive
great talk full wisdom,0.8176,positive
great concept marriage choice really deeply love two people time gotten know intimately already sharing life happen,0.9131,positive
unnecessary complication choice choice word made illusion illusion choose u linear path set upon u dont see every choice based thing outside control,0.0,neutral
dont understand thing said,0.0,neutral
great video shes talking circle called socratic method,0.6249,positive
want become decision make,0.0772,positive
wasnt helpful,-0.3252,negative
aritmethic version meant par inequation finite number possible solution,0.3818,positive
love heeeeerrrrr,0.6369,positive
got face like symbol,0.3612,positive
excellent presentation hard choice cant imagine presented better thanks much eyeopening mindopening information,0.5851,positive
wondering could use video school project,0.0,neutral
amazing well said insightful,0.7096,positive
hard choice eye surgery right away im adult cuz im u crooked eye life im scared idk,-0.5719,negative
damn chinese sure smart,0.3182,positive
would mattered put agency behind becoming lawyer got hated wouldnt outcome,-0.6369,negative
people never get point mentioned minute video imo education system think science anything broken reductionism better thinking like outlined ted talk visualization help process something reductionist thought never duplicate many westerner process either happens later life yo person experience event shatters reality like bankruptcy,0.7579,positive
make hard choice become concerned person choose concerned person unconcerned person,-0.3182,negative
true point good message eloquently spoken,0.6908,positive
best ted talk ive ever seen blow mind,0.6369,positive
might sub watching really like vid,0.4201,positive
wtf,-0.5859,negative
saw video time year first time thought catching point today thigns life taught importance inner space starting point make decision video start make sense inspiring give chance watch video think theory par reason u way take hard decision live good sorry english,0.8176,positive
correct way make hard choice explains effective mechanism guess,0.4019,positive
thank gave lot clarity,0.6369,positive
middle choice pilot taking high paying job computer programming pilot put lot debt,-0.3612,negative
revit archicad,0.0,neutral
content good talked much make point need focus pitch,0.4404,positive
im cause idk buy smaller ar bigger bed room,-0.1027,negative
talk faster cant make choice,0.0,neutral
wow thank ruth chang talk becoming philosopher providing clear path make hard choice also watched video next yts line think together perfect blend aid making hard choice video istough decision use heart alison meyer love peace,0.9612,positive
thankfully choose philosophy simply put biological specie comparators default design ease survival learned behavior biological specie entity observe time time exist absolute reality begs question biological specie design survival default basically feedback system best survival,0.8591,positive
problem postmodern thought begin opinion fight support assuming right say however even opinion based assumption every bit wish science test validity assumption much model universe overlap said universe claim obligation overlap may indicate wealthy receive little feedback mistake end could called insanity stupiditythat youve lost contact reality self justification without recourse intelligence reality beautiful hideous ludicrous,-0.6884,negative
dont marry lolita,0.0,neutral
thanks ruth excellent talk,0.765,positive
option give reason alternate choose give reason better vague term time limit force u make choice without analyzing data cant analyze though im student physic philosophy concept choice messing mind since situation choose two college considering certain factor make choice easy even factor chosen following alan watt said choice,0.7579,positive
im glad wasnt another follow passion video surprisingly clear lucid enlightened,0.8186,positive
seen,0.0,neutral
bit confusing beginning actually helpful insightful end,0.2263,positive
evolution academic philosphy seems stuck early chapter book,-0.25,negative
leave everything behind try find natural living commukity left planet learning true nature play game win whatever come end smart even like dissolve way chose make might never fulfilled eventually torture one day taking risk,0.935,positive
could marry betty lolita um people dont name girl lolitabecause book movie ive never met betty eighty,0.0,neutral
powerful message ive heard entire life,0.4215,positive
phoebe buffay,0.0,neutral
choice hallaween costume ice cream flavor eat welcome life,0.4588,positive
chose apple orange like equally choosing either make disappear,0.1531,positive
best thing ive watched today,0.6369,positive
kind advice looking lifted spirit thank,0.765,positive
clickbait title clickbait,0.0,neutral
im dad life dubai live mom ireland dad work dubai get money year coming home forever think really want move dad dubai sunny good friend ill dad dog im afraid go friend miss sister want come mom alone think hate u guy help decide,0.7837,positive
didnt seem help,-0.3089,negative
lawyer part system corrupt system,0.0,neutral
idiot guide making hard choice,-0.5719,negative
make hard choice dummy,-0.1027,negative
one feel like total waste time besides repeating first minute thing add value measured,0.2732,positive
college style lecture,0.0,neutral
see point,0.0,neutral
feel like talking circle,0.3612,positive
feel video title could hard choice necessary instead make hard choice,-0.2023,negative
ihave money decor room buy clothing,0.0,neutral
drifting choosing choosing stay certain option good talk apart part lao tse would say patience wait till mud settle water clear remain unmoving till right action arises,0.765,positive
still sure whether go law biology,0.3182,positive
thank much mam actually made easy,0.6597,positive
making choice follow instinct thats got speech,0.0,neutral
hard choice make go south dakota tomorrow grandma cousin havent seen year celebrate th july help plz,-0.1022,negative
im trying make decision put toast,0.0,neutral
cant find arabic translation,0.0,neutral
got headache video dont overthink choice life definitely randomness want become something desire take hard choice put work need close alternative door move accept choice made good bad philosopher like monk buddhist thinking life missing life nothing,0.765,positive
brilliant really helped,0.5859,positive
omg scary video started choice first choice biggest choice currently making coincidence unreal artist accountant live city country side p im two timing im actually moving new country next yr study two choice capital city countryside im middle inner fight whether follow passion art accountant,-0.4215,negative
get meant share life exactly wish didnt,0.5994,positive
great video helpfull,0.6249,positive
absolute favorite ted talk give comfort hard choice make elegant compelling thank dr chang,0.891,positive
thank really helped thinking option positive way,0.7269,positive
well justified speech think perfectly put together need find would like defined also read comment earlier saying something bad happens three choice let define let destroy let strengthen think learnt bad decision even occur nothing happened cant blame couldnt known think cant overthink much make feel worse need simply give thing try,-0.375,negative
create reason ultimately defines u,0.2732,positive
great video start essay,0.6249,positive
good speech revealing,0.4404,positive
great ted talk however speaking ruth chang think conclusion would powerful little concise disclaimer add get ever gotten paid write speak persuade,0.7845,positive
amazing insightful lecture loved,0.8271,positive
arabic translation please,0.3182,positive
perplexity talk deal finding concrete solution problem speaker figured brilliant way problem fundamental issue lie end speech didnt feel like got new way face hard choice agree idea there way apply quantitative comparison value cant say option better another also agree consideration hard choice chance shape want life opinion real problem best choice want like many time know want life cant figure best path get listen emotional part understand really want life desire know want shape dont know tool choose obtain shape,0.9375,positive
condemned free sartre,0.1027,positive
amazing speacher also always come back face tough decition specially last part really spiring,0.5106,positive
okay ive learned video flip coin girlfriend like im starting little feeling someone else like im trying decide thanks information really helped,0.8405,positive
magnifique gratitude,0.5106,positive
see clearly rain gone,0.4019,positive
talk struck chord also drifted becoming law student people asked became lawyer told least uncertain career path seeing thing perspective talk gave insight implicitly chose person wanted become thanks ted,0.4191,positive
philosopher belief there free philosopher philosopher belief there free philosopher either m chang speech tell lawyer isnt good job arm chair philosophizing never good there armchair know knew know,0.4191,positive
guy look thrilled wife drug,0.4404,positive
make choice duty,0.0,neutral
hmmm thing free right go flow choice predetermined werent,0.5106,positive
excellent video fluent clearfull thanks job french merci beacoup pour cette super vido,0.8885,positive
congratulation philosopher,0.5994,positive
impossible predict future two choice probably chose one consume lot brain two girl first one simple one confusing ill go second one whatever seems risky challenging worth,-0.4588,negative
need choose weather want go softball team ive season dont really get catchand love catching go different b team dont catcher said could catch whole time need help,0.8158,positive
great video relevant personal decision however wonder recommends hard choice public context unfortunately notion building oneself personal decision doesnt really hold become possible quantify value order take decision best common interest,0.9153,positive
interesting enlightening making easier make hard choice,0.8126,positive
really hard choice make choice living mind living pleasure seeking controlling dreammachine living reality seeing life really meant without manifestation mind intruding present people live prison mind isnt fear fantasy anger greed number choice unslaving mind prison even know nature secret mind mind always try master way unslave mental prison learn real truth mind learn life work general google truthcontest read present,-0.3328,negative
min made choice,0.0,neutral
single best video ever watched youtube like watch every,0.7717,positive
dr chang talk gift world thank beautifully delivering u watch every time need make difficult choice thank much,0.8442,positive
enlightening watch time hard decision make,0.4404,positive
video mental masturbation hard choice allow u pick future end,0.128,positive
watched opinion truly learn anything common sense explaining common sense open anything nice forgettable presentation,0.6908,positive
isnt helpful youre even moderately self aware trying make difficult decision,-0.5903,negative
really useful thank,0.7159,positive
great simply great,0.8481,positive
suggest people fence voting donald trump president go vote feel like instead seeking information better way reason choice becomes clear,0.7906,positive
dont let dream dream yesterday u said tomorrow,-0.357,negative
reasoncreator drifter hard choice,-0.1027,negative
clap choose better thanks,0.7003,positive
yeah interesting approach got bewilderedshould listen one time attentively,0.5994,positive
shout mr burnett,0.0,neutral
explained major methodological problem use scientific method social science economics unequal ought problem quantification value,-0.6597,negative
overall message hard choice good alright fumbled talked choice unequal also neither better two mutually exclusive attribute one must false sound like case since reason choosing one subjective there better option thats fair use language like muddy objectivity subjectivity sound murky contradictory,0.3995,positive
helped somewhat brain twister liked lot,0.3687,positive
choose something want horribly bad probably wont end shaping person hope staying somewhere hate huge factor kept past year wasnt relationship ive formed factor arent people there doubt mind id exactly want im stuck knowing whether better end,-0.4195,negative
understand reject college must fight institutionalization systematization human learning,-0.6486,negative
good,0.4404,positive
make tea coffee juice,0.0,neutral
video reminded movie mr nobody,0.0,neutral
profoundly insightful,0.0,neutral
choice start second american revolution v vendetta style become animal trainer love crappy country wtf,-0.4939,negative
naturally bubbly bought,0.0,neutral
follow passion,0.4588,positive
sheeple laughing reason stupid desperate laugh wtf,-0.4019,negative
video like betray ignorance people like lawrence krauss insist philosophy longer contributes anything humanity,-0.4019,negative
nice video,0.4215,positive
inspirational,0.5106,positive
bring back isoughtgap order underline power individual constructivism life good starting point dont see truly help anyone trouble arises one already understood one author one life upon realization path might worse one life others might even deeply regretted later life consideration come individual experience illegitimate resort science better worse alternative every life story ignorance development self scenario scenario make choice hard way surely great song melody bad,-0.8425,negative
nihilist,0.0,neutral
thank much received talk wonderful gift today helped,0.8442,positive
wonderful talk absolutely loved thank sharing,0.9292,positive
yes yes,0.6597,positive
make hard choice make choice create reason choice,0.1779,positive
make difficult decision watching video given better perspective however still unsure decision would like attend nevada state high school school would able get college credit even graduate associate degree even getting high school diploma school free would saving lot money problem im sure leave current magnet school east tech main reason wouldnt want leave school going experience medical program im quite sure decision make,0.7951,positive
actually helped alot big discusion make learn robot learn chemics physic im rly sure another thinking position thank,0.5859,positive
wasted minute life,-0.4939,negative
go another choice different thing arise creative find way make best two three thing want career art also think going banking find passion free time work day work bank ge lesser passion say asking bank mural outside building surround office art work artistic book,0.9493,positive
someone could guide making right decision better yet someone could make hard decision based logic common sense best part wont shell dollar like would usual life coach check dont decision,0.6798,positive
agree long love point make,0.7717,positive
helped make really hard decision thank,0.2665,positive
worst ted talk seen far,-0.6249,negative
new vision,0.25,positive
dont know want buy game also want spend money making five night freddys mask anyone comment help thumb buy game thumb make five night freddys mask,0.3085,positive
dont necessarily agree always best make decision based much research possible help u see choice much actually shes making life decision par example love art love math love art bit current job market live bearing mind family privileged background difficult get graphic design job easy get banking job dont see banker ultimately better choice ill ok financially find notoriously difficult make choice paralysis analysis one thing helped become better research find answer make decision let make dont make decision based feeling find answer justify second option rarely sits well,0.9752,positive
insightful thank however still seem make decision two thing ive looking forward year last musical school hold auditorium theyre going tear able fun huge mall stay hotel somewhere presenting science fair project today ive informed day cant make decision im also considering asking musical director reschedule musical still able preform experience opportunity im shy answer probably,0.8807,positive
enlightening,0.5106,positive
executive summary exhausting source information might help promote one choice another outcome choice still seem equivalent go gut since choice inherently represent individual freewill ftw,0.7783,positive
practical yet philosophical,0.0,neutral
enlightening talk shaped choice reasoning behind important choice,0.6249,positive
world ruled drifter hard exercise choice given socialisation bind u notion success reward indeed putting agency behind one choice knowingly owning called living implanted young mind require much needed change curriculum especially third world,0.7906,positive
hard choice sometimes human dont act courageous enough make say hard,-0.5538,negative
dare say best ted talk ive ever seen,0.6369,positive
indeed insightful,0.0,neutral
thank ruth chang great lesson,0.765,positive
bold brilliant bravo,0.7506,positive
lol reading comment watched vid feel like shouldnt watch itbut ill watch anyways,0.7672,positive
part worth listening last second soif youre actually looking hear something mature decision listen osho concept choiceless awareness make ted talk look like kid play,0.8225,positive
one become philosopher,0.0,neutral
knew someone chose lawyer died,-0.5574,negative
choose either go open house school going birthday part help youtube friend,0.7096,positive
helped bit graduate degree psychology im stuck medicine clinical psychology career decision bother time terrified making mistake,-0.8689,negative
one best ted talk sure thank,0.8402,positive
problem philosophy often there much thinking enough insight thinking nature drawn convoluted insight clear simple concise insight mainly gained experience sitting armchair,0.3612,positive
read bad comment video make choice clicking away decided hear say dont let world dictate choice whether hard easy didnt get full message rewatch video,-0.25,negative
understood hard choice one seems hard compare one hard best one one option leave always seem u better taken one one explain one line make hard choice help,0.7906,positive
subjectivity versus objectivity good thinking,0.4404,positive
thank ruth helped lot choosing right option two par great hear,0.765,positive
didnt help came see make taking decision easier feel bless im dissapointed,0.5175,positive
doesnt help make hard choice,-0.2411,negative
titled hard choice curse cause clearly doesnt teach make hard choice,-0.3818,negative
damn talk view insightfulness,-0.4019,negative
